"","State","Date","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"245","California",2020-04-02,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Economic support to the most affected workers and businesses"
"246","California",2020-04-02,"Resource allocation","Measures to ensure security of supply","Insure access to gas/electricity/water/telecommunications","Prevent water shut-off"
"247","California",2020-04-03,"Resource allocation","The government provide assistance to vulnerable populations","The government provides accommodations","For homeless people"
"248","California",2020-04-03,"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","Food"
"249","California",2020-04-03,"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies",NA
"250","California",2020-04-03,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Authorize telemedicine"
"251","California",2020-04-04,"Healthcare and public health capacity","Increase in medical supplies and equipment","Secure necessary medical equipment stocks and distribution","Website"
"252","California",2020-04-04,"Resource allocation","Crisis management plans","State aid, taxation and social security","Expand child care access for essential persons"
"253","California",2020-04-06,"Healthcare and public health capacity","Increase in medical supplies and equipment","Ventilators",NA
"254","California",2020-04-06,"Healthcare and public health capacity","Increase patient capacity","Beds",NA
"255","California",2020-04-07,"Resource allocation","Measures to ensure security of supply","Fixing price for medical supplies","Lift taxes on medical supplies"
"256","California",2020-04-07,"Resource allocation","The government provide assistance to vulnerable populations","Implement community support","Home care for elderly and vulnerable children"
"257","California",2020-04-09,"Healthcare and public health capacity","Increase healthcare workforce","Incentives for healthcare workers","Ease accommodation for healthcare professionals"
"258","California",2020-04-09,"Healthcare and public health capacity","Increase healthcare workforce","Incentives for healthcare workers","Ease transport of health workers"
"259","California",2020-04-09,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"260","California",2020-04-09,"Social distancing","Mass gathering cancellation","Measures for elections","Extended vote-by-mail procedures for elections"
"261","California",2020-04-10,"Healthcare and public health capacity","Increase healthcare workforce","Train medical staff especially for covid-19","Nurses"
"262","California",2020-04-10,"Resource allocation","Crisis management plans","State aid, taxation and social security","State supports childcare if parents are doing essential work"
"263","California",2020-04-13,"Resource allocation","The government provide assistance to vulnerable populations","Funds to expand support and services for vulnerable populations",NA
"264","California",2020-04-14,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Simplified hearing and incarceration procedures for minors"
"265","California",2020-04-16,"Resource allocation","Crisis management plans","State aid, taxation and social security","Support workers from large employers in the food sector industry"
"266","California",2020-04-16,"Resource allocation","Crisis management plans","Administrative procedures facilitated","Flexibility for admission to universities"
"267","California",2020-04-17,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"268","California",2020-04-17,"Resource allocation","Crisis management plans","Administrative procedures facilitated","Flexibility in the emergency placement of foster youth"
"269","California",2020-04-21,"Risk communication","Educate and actively communicate with the public","Foster community assistance","Call for volunteers to help others stay at home"
"270","California",2020-04-22,"Returning to normal life","Access to non-essential/critical healthcare services","Re-opening of medical and paramedical centers","Re-opening of hospitals for non urgent cares"
"271","California",2020-04-23,"Resource allocation","Crisis management plans","State aid, taxation and social security","Facilitate loans for students"
"272","California",2020-04-23,"Social distancing","Mass gathering cancellation","Implement e-learning",NA
"273","California",2020-04-23,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Ease prescription renewal"
"274","California",2020-04-23,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"275","California",2020-04-23,"Social distancing","Measures for special populations","More exposed professionals (not healthcare)","Workers handling reusable grocery bags and recyclable containers"
"276","California",2020-04-24,"Resource allocation","The government provide assistance to vulnerable populations","The government provides food assistance","For elderly"
"277","California",2020-04-29,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Support to the agri-food sector"
"278","California",2020-04-30,"Resource allocation","Crisis management plans","State aid, taxation and social security","State supports childcare if parents are doing essential work"
"279","California",2020-04-30,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Marriage<U+00A0>license via<U+00A0>videoconference"
"280","California",2020-05-01,"Resource allocation","The government provide assistance to vulnerable populations","Insure access to gas/electricity/water/telecommunications","Faciliate access to Internet"
"281","California",2020-05-01,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Waive in-person identification requirements for certain procedures"
"282","Colorado",2020-03-10,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"283","Colorado",2020-03-12,"Social distancing","Measures for special populations","Measures to limit contact to hospital patients","Recommendation to reduce contact to hospital patients"
"284","Colorado",2020-03-12,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"285","Colorado",2020-03-16,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Total"
"286","Colorado",2020-03-16,"Social distancing","Mass gathering cancellation","Cultural places and events",NA
"287","Colorado",2020-03-18,"Risk communication","Educate and actively communicate with the public","Foster community assistance","Encourage donation for covid19 crisis"
"288","Colorado",2020-03-19,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"289","Colorado",2020-03-19,"Resource allocation","Crisis management plans","State aid, taxation and social security","Extension of health insurance"
"290","Colorado",2020-03-23,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"291","Colorado",2020-03-23,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"292","Colorado",2020-03-23,"Social distancing","Closure of educational institutions","Complete closure of universities",NA
"293","Colorado",2020-03-23,"Social distancing","Mass gathering cancellation","Outdoor activities","Closure of ski resorts"
"294","Colorado",2020-03-23,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"295","Colorado",2020-03-25,"Risk communication","Actively communicate with managers","Recommendations for work safety protocols","For local government and law enforcement agencies"
"296","Colorado",2020-03-26,"Travel restriction","National lockdown","Stay-at-home Order",NA
"297","Colorado",2020-03-26,"Social distancing","Small gathering cancellation","Closure of non-essential shops",NA
"298","Colorado",2020-03-26,"Social distancing","Mass gathering cancellation","Closure of non-essential working places",NA
"299","Colorado",2020-03-26,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of work licenses"
"300","Colorado",2020-03-26,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Increase flexibility in protocols"
"301","Colorado",2020-03-27,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","Ease restrictions for transporters"
"302","Colorado",2020-03-27,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"303","Colorado",2020-03-29,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"304","Colorado",2020-03-29,"Resource allocation","Crisis management plans","Administrative procedures facilitated","Allow remote notarization"
"305","Colorado",2020-03-31,"Resource allocation","Activate or establish emergency response","Exceptional change to work law","Facilitate work of immigrants"
"306","Colorado",2020-04-01,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Expand the use of and access to telemedicine"
"307","Colorado",2020-04-01,"Risk communication","Actively communicate with managers","Guidelines","To implement social distancing (state agencies)"
"308","Colorado",2020-04-01,"Travel restriction","Individual movement restrictions","Movements for non-essential<U+00A0>activities forbidden","Recommendation to not go to secondary home"
"309","Colorado",2020-04-03,"Risk communication","Actively communicate with managers","Guidelines","To implement social distancing (municipal elections)"
"310","Colorado",2020-04-03,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Promote the use of face masks"
"311","Colorado",2020-04-03,"Resource allocation","Crisis management plans","State aid, taxation and social security","For vulnerable populations"
"312","Colorado",2020-04-03,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"313","Colorado",2020-04-03,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"314","Colorado",2020-04-06,"Resource allocation","Crisis management plans","State aid, taxation and social security","Suspend evictions and foreclosures"
"315","Colorado",2020-04-06,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"316","Colorado",2020-04-06,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"317","Colorado",2020-04-06,"Resource allocation","Crisis management plans","Administrative procedures facilitated","Obtention of marriage licenses facilitated"
"318","Colorado",2020-04-08,"Risk communication","Actively communicate with managers","Guidelines","To implement social distancing (faith leaders for religious celebrations)"
"319","Colorado",2020-04-10,"Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","Convert convention center"
"320","Colorado",2020-04-10,"Risk communication","Educate and actively communicate with the public","Answer to questions","Online service covid-19"
"321","Colorado",2020-04-10,"Resource allocation","Crisis management plans","State aid, taxation and social security","State aid for vulnerable populations"
"322","Colorado",2020-04-11,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Suspend certain regulatory statutes"
"323","Colorado",2020-04-13,"Risk communication","Actively communicate with managers","Encourage stakeholders to provide assistance to vulnerable populations","Encourage owners of accommodation to shelter homeless people"
"324","Colorado",2020-04-13,"Resource allocation","Police and army interventions","To support the population","To help vulnerable populations"
"325","Colorado",2020-04-13,"Resource allocation","Police and army interventions","To collect data and samples for tests","Testing"
"326","Colorado",2020-04-13,"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Enable access to confidential patient information"
"327","Colorado",2020-04-14,"Resource allocation","Crisis management plans","State aid, taxation and social security","Expand child care access for essential persons"
"328","Colorado",2020-04-15,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Expanded scope of practice of nurses/ physician assistant/anaesthesists/midwifes"
"329","Colorado",2020-04-15,"Resource allocation","Activate or establish emergency response","Repurpose domestic forces","Reduce need of repurposed forces for other purposes than Covid-19"
"330","Colorado",2020-04-17,"Healthcare and public health capacity","Increase isolation and quarantine facilities","Isolation centers","In long-term care facilities"
"331","Colorado",2020-04-17,"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Test strategy implemented in institutions hosting vulnerable population: test of healthcare providers"
"332","Colorado",2020-04-17,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Restrictions for visitors"
"333","Colorado",2020-04-17,"Resource allocation","Police and army interventions","To collect data and samples for tests","Testing"
"334","Colorado",2020-04-17,"Healthcare and public health capacity","Increase patient capacity","Increase number of medical institutions","Convert convention center"
"335","Colorado",2020-04-17,"Healthcare and public health capacity","Personal protective measures","Mandatory use of masks","For workers in contact with the public"
"336","Colorado",2020-04-17,"Resource allocation","Activate or establish emergency response","Relaxation of data protection law","Data on ethnicity of Covid-19 patients"
"337","Colorado",2020-04-20,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"338","Colorado",2020-04-22,"Risk communication","Actively communicate with managers","Guidelines","To implement social distancing (workplaces)"
"339","Colorado",2020-04-23,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of work licenses"
"340","Colorado",2020-04-24,"Healthcare and public health capacity","Enhance laboratory testing capacity","Increase testing capacity (number tests)","Increase test availability"
"341","Colorado",2020-04-24,"Case identification, contact tracing and related measures","Enhance detection system","Targeted testing","Caregivers for vulnerable groups"
"342","Colorado",2020-04-27,"Resource allocation","Activate or establish emergency response","Risk management plan","New task force"
"343","Colorado",2020-04-27,"Returning to normal life","Phase out emergency management","Lift state of emergency","Downgrade level of emergency"
"344","Colorado",2020-04-29,"Healthcare and public health capacity","Increase healthcare workforce","Train medical staff especially for covid-19","Train medical staff to perform case identification and contact tracing"
"345","Colorado",2020-04-30,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Expand the use of and access to telemedicine"
"346","Colorado",2020-04-30,"Resource allocation","Crisis management plans","Financial aid for health system","For nursing homes and care facilities"
"347","Colorado",2020-05-01,"Resource allocation","Activate or establish emergency response","Risk management plan","Set up crisis unit (national)"
"348","Colorado",2020-05-01,"Resource allocation","Crisis management plans","Repurpose government plans","Funding to community-based organisations"
"349","Colorado",2020-05-01,"Social distancing","Closure of educational institutions","Complete closure of universities",NA
"350","Colorado",2020-05-01,"Risk communication","Educate and actively communicate with the public","Direct advice to vulnerable populations","Recommend the elderly to stay at home"
"351","Colorado",2020-05-01,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"352","Colorado",2020-05-01,"Returning to normal life","Lift restriction on small gatherings","Re-opening of certain shops","Salons, tattoo parlors, dog grooming, personal training"
"353","Colorado",2020-05-01,"Returning to normal life","Lift restriction on small gatherings","Limit up to 10 persons",NA
"354","Colorado",2020-05-01,"Returning to normal life","Lift restriction on small gatherings","Re-opening of certain shops","Retail entities"
"355","Colorado",2020-05-01,"Returning to normal life","Access to non-essential/critical healthcare services","Re-opening of medical and paramedical centers","Resume non-urgent or elective procedure"
"356","Colorado",2020-05-04,"Returning to normal life","Lift restriction on mass gatherings","Re-opening of workplaces","50% capacity"
"357","Colorado",2020-05-04,"Risk communication","Actively communicate with managers","Recommendations for work safety protocols","Encourage home office"
"358","Connecticut",2020-03-10,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"359","Connecticut",2020-03-12,"Social distancing","Mass gathering cancellation","Limit up to 250 persons",NA
"360","Connecticut",2020-03-12,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"361","Connecticut",2020-03-12,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"362","Connecticut",2020-03-14,"Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Allowing licensed pharmacies to make and sell alcohol-based hand sanitizers"
"363","Connecticut",2020-03-15,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"364","Connecticut",2020-03-16,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"365","Connecticut",2020-03-16,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"366","Connecticut",2020-03-16,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Closure of off-track betting facility operations"
"367","Connecticut",2020-03-16,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"368","Connecticut",2020-03-16,"Social distancing","Mass gathering cancellation","Cultural places and events","Closure of movie theatres"
"369","Connecticut",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"370","Connecticut",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"371","Connecticut",2020-03-19,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Closure of large shopping malls"
"372","Connecticut",2020-03-19,"Social distancing","Mass gathering cancellation","Closure of non-essential public places","Closure of palces of public amusement"
"373","Connecticut",2020-03-19,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"374","Connecticut",2020-03-19,"Social distancing","Small gathering cancellation","Closure of non-essential shops","Partial"
"375","Connecticut",2020-03-23,"Social distancing","Small gathering cancellation","Non-critical court operations suspended",NA
"376","Connecticut",2020-03-24,"Social distancing","Small gathering cancellation","Mandatory home office",NA
"377","Connecticut",2020-03-26,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"378","Connecticut",2020-03-27,"Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Allowing non-traditional manufacturers to make alcohol-based hand sanitizers"
"379","Delaware",2020-03-13,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"380","Delaware",2020-03-13,"Resource allocation","Police and army interventions","To support the population","Humanitarian missions"
"381","Delaware",2020-03-13,"Social distancing","Mass gathering cancellation","Limit up to 100 persons","partial: non-essential mass gatherings"
"382","Delaware",2020-03-13,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"383","Delaware",2020-03-13,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Special populations: elderly and with chronic health conditions"
"384","Delaware",2020-03-13,"Healthcare and public health capacity","Increase healthcare workforce","Movement restriction of healthcare professionals","Travel ban for healthcare professionals"
"385","Delaware",2020-03-13,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"386","Delaware",2020-03-13,"Travel restriction","Individual movement restrictions","Non-essential travels abroad/out-of-state forbidden","Travelling ban for state employees"
"387","Delaware",2020-03-16,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"388","Delaware",2020-03-16,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"389","Delaware",2020-03-16,"Social distancing","Mass gathering cancellation","Indoor activities","Bars, clubs, casinos"
"390","Delaware",2020-03-16,"Social distancing","Mass gathering cancellation","Indoor activities","Hobby and leisure centres"
"391","Delaware",2020-03-16,"Social distancing","Mass gathering cancellation","Cultural places and events","Theatres, concert events"
"392","Delaware",2020-03-16,"Social distancing","Mass gathering cancellation","Indoor activities","Fitness centers and gyms"
"393","Delaware",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"394","Delaware",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"395","Delaware",2020-03-21,"Social distancing","Mass gathering cancellation","Closure of non-essential public places","Beaches"
"396","Delaware",2020-03-24,"Social distancing","Mass gathering cancellation","Closure of non-essential working places",NA
"397","Delaware",2020-03-24,"Social distancing","Mass gathering cancellation","Closure of non-essential public places",NA
"398","Delaware",2020-03-24,"Social distancing","Small gathering cancellation","Closure of non-essential shops",NA
"399","Delaware",2020-03-24,"Travel restriction","Individual movement restrictions","Movements for non-essential<U+00A0>activities forbidden",NA
"400","Delaware",2020-03-24,"Resource allocation","Crisis management plans","State aid, taxation and social security","Measures to protect renters and house owners"
"401","Delaware",2020-03-30,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"402","Delaware",2020-03-30,"Social distancing","Mass gathering cancellation","Measures for elections","Elections postponed"
"403","Florida",2020-03-01,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"404","Florida",2020-03-01,"Case identification, contact tracing and related measures","Quarantine","Suspected cases",NA
"405","Florida",2020-03-09,"Resource allocation","Police and army interventions","To collect data and samples for tests","Testing"
"406","Florida",2020-03-09,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"407","Florida",2020-03-09,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for health care providers"
"408","Florida",2020-03-11,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Recommendation to reduce contact to long-term care facilities"
"409","Florida",2020-03-12,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Health screening protocols for all visitors of juvenile detention centers"
"410","Florida",2020-03-14,"Social distancing","Measures for special populations","Measures to limit contact to long-term care facilities","Close long-term care facilities for visitors"
"411","Florida",2020-03-15,"Social distancing","Special measures for certain establishments","Prisons and youth detention centers","Reduction of visits"
"412","Florida",2020-03-16,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"413","Florida",2020-03-17,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"414","Florida",2020-03-17,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"415","Florida",2020-03-20,"Social distancing","Mass gathering cancellation","Indoor activities",NA
"416","Florida",2020-03-20,"Social distancing","Mass gathering cancellation","Cultural places and events",NA
"417","Florida",2020-03-20,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"418","Florida",2020-03-20,"Healthcare and public health capacity","Increase patient capacity","Postponement of non-essential care and non-urgent operations in hospitals",NA
"419","Florida",2020-03-23,"Social distancing","Closure of educational institutions","Partial closure of kindergartens",NA
"420","Florida",2020-03-23,"Social distancing","Closure of educational institutions","Partial closure of primary and secondary schools",NA
"421","Florida",2020-03-23,"Social distancing","Closure of educational institutions","Partial closure of universities",NA
"422","Florida",2020-03-24,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"423","Florida",2020-03-24,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend the elderly to stay at home"
"424","Florida",2020-03-24,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"425","Florida",2020-03-24,"Risk communication","Educate and actively communicate with the public","Promote workplace safety measures","Recommendation for home office"
"426","Florida",2020-03-26,"Risk communication","Educate and actively communicate with the public","Encourage vaccination against respiratory diseases other than covid19","Encourage vaccination against respiratory diseases other than covid19"
"427","Florida",2020-03-27,"Travel restriction","Border restriction","Land border controls",NA
"428","Florida",2020-03-27,"Social distancing","Small gathering cancellation","Closure of short-term accommodation","Vacation rental suspended"
"429","Florida",2020-03-30,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Recruitment of healthcare workers on the frontline"
"430","Georgia",2020-03-14,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"431","Georgia",2020-03-14,"Resource allocation","Police and army interventions","To collect data and samples for tests","Testing"
"432","Georgia",2020-03-14,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"433","Georgia",2020-03-18,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"434","Georgia",2020-03-18,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"435","Georgia",2020-03-18,"Social distancing","Closure of educational institutions","Complete closure of universities",NA
"436","Georgia",2020-03-20,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Computer-based processing of prescriptions"
"437","Georgia",2020-03-20,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Ease prescription renewal"
"438","Georgia",2020-03-20,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"439","Georgia",2020-03-23,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Reactivate license/renew license of healthcare workers"
"440","Georgia",2020-03-23,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Ease the recruitment of healthcare workers"
"441","Georgia",2020-03-23,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Recommend vulnerable populations to stay at home: elderly and with chronic health conditions"
"442","Georgia",2020-03-23,"Social distancing","Small gathering cancellation","Limit up to 10 persons","Business, establishment, non-profit corporation, or organization"
"443","Georgia",2020-03-25,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"444","Georgia",2020-03-26,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"445","Georgia",2020-03-30,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"446","Georgia",2020-03-31,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Computer-based processing of prescriptions"
"447","Hawaii",2020-03-04,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"448","Hawaii",2020-03-04,"Resource allocation","Crisis management plans","Repurpose government plans","Major Disaster Fund"
"449","Hawaii",2020-03-04,"Resource allocation","Measures to ensure security of supply","Fixing price for necessity goods","food, medical supplies, personal hygene"
"450","Hawaii",2020-03-04,"Resource allocation","Measures to ensure security of supply","Increase delivery capacity for medical supplies","food, medical supplies, personal hygene"
"451","Hawaii",2020-03-16,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Administrative hearing may be conducted by telephone or video conference without the parties being physically present"
"452","Hawaii",2020-03-16,"Healthcare and public health capacity","Increase healthcare workforce","Exception to work law allowed","Suspension of licensure laws for health care providers"
"453","Hawaii",2020-03-21,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"454","Hawaii",2020-03-25,"Travel restriction","Individual movement restrictions","Movements for non-essential<U+00A0>activities forbidden","Allowed to work only when work cannot be performed via home office"
"455","Hawaii",2020-03-25,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","Allowed to work only when in essential business or operations"
"456","Hawaii",2020-03-25,"Risk communication","Educate and actively communicate with the public","Promote social distancing measures","Promote the 2m distance"
"457","Hawaii",2020-03-25,"Healthcare and public health capacity","Personal protective measures","Enhance hand hygiene","Essential businesses and operations shall make sanitizing products available for employees and customers"
"458","Hawaii",2020-03-25,"Social distancing","Measures for special populations","Measures to limit contact to the elderly","Special hours for the elderly to cover their basic needs"
"459","Hawaii",2020-03-25,"Social distancing","Measures for special populations","Measures to protect vulnerable populations","Essential businesses and operations shall implement separate operating hours for high risk customers"
"460","Hawaii",2020-03-29,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"461","Hawaii",2020-03-29,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Authorize telemedicine"
"462","Hawaii",2020-03-29,"Social distancing","Small gathering cancellation","Reduce close physical contact in workplaces","Reduce close physical contact in for notary functions"
"463","Hawaii",2020-03-31,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"464","Idaho",2020-03-13,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"465","Idaho",2020-03-23,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Authorize telemedicine"
"466","Idaho",2020-03-23,"Healthcare and public health capacity","Adapt procedures for patient management","Ease prescription of regular medical products for patients","Ease prescription renewal"
"467","Idaho",2020-03-23,"Healthcare and public health capacity","Increase healthcare workforce","Mobilization of domestic resources for health","Recruitment of healthcare workers on the frontline"
"468","Idaho",2020-03-23,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"469","Idaho",2020-03-23,"Risk communication","Educate and actively communicate with the public","Encourage stay at home","Ederly and health-compromised people"
"470","Idaho",2020-03-23,"Risk communication","Educate and actively communicate with the public","Promote self-initiated isolation of people with mild respiratory symptoms",NA
"471","Idaho",2020-03-23,"Case identification, contact tracing and related measures","Quarantine","Incoming travelers","All"
"472","Idaho",2020-03-23,"Risk communication","Educate and actively communicate with the public","Respiratory etiquette","Advice campaign for sneezing/coughing in the elbow"
"473","Idaho",2020-03-23,"Social distancing","Small gathering cancellation","Limit up to 10 persons",NA
"474","Idaho",2020-03-25,"Resource allocation","Activate or establish emergency response","Declare state of emergency","Declare extreme emergency state"
"475","Idaho",2020-03-27,"Resource allocation","Crisis management plans","State aid, taxation and social security","Government support the obtention of unemployment benefits"
"476","Idaho",2020-03-27,"Resource allocation","Crisis management plans","Repurpose government plans","Emergency funds"
"477","Idaho",2020-04-01,"Social distancing","Mass gathering cancellation","Measures for elections","Extended vote-by-mail procedures for elections"
"478","Illinois",2020-03-09,"Resource allocation","Activate or establish emergency response","Declare state of emergency",NA
"479","Illinois",2020-03-13,"Social distancing","Mass gathering cancellation","Limit up to 1000 persons",NA
"480","Illinois",2020-03-13,"Resource allocation","Crisis management plans","Develop all-of-society and business continuity plans","Guaranty payment of sick leaves during the epidemic"
"481","Illinois",2020-03-16,"Social distancing","Small gathering cancellation","Closure of restaurants/bars/cafes","Partial"
"482","Illinois",2020-03-16,"Social distancing","Mass gathering cancellation","Indoor activities","Hobby and leisure centres"
"483","Illinois",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of kindergartens",NA
"484","Illinois",2020-03-17,"Social distancing","Closure of educational institutions","Complete closure of primary and secondary schools",NA
"485","Illinois",2020-03-17,"Social distancing","Special measures for certain establishments","Decongestion of administrative institutions","Extension of driving licence"
"486","Illinois",2020-03-17,"Resource allocation","Crisis management plans","State aid, taxation and social security","Tax relief measures"
"487","Illinois",2020-03-18,"Social distancing","Mass gathering cancellation","Limit up to 50 persons",NA
"488","Illinois",2020-03-19,"Healthcare and public health capacity","Adapt procedures for patient management","Simplification of the health journey","Authorize telemedicine for mental health"
"489","Illinois",2020-03-21,"Travel restriction","National lockdown","Stay-at-home Order",NA
"490","Illinois",2020-03-21,"Social distancing","Small gathering cancellation","Closure of non-essential shops","All"
"491","Illinois",2020-03-21,"Social distancing","Mass gathering cancellation","Closure of non-essential working places","All"
"492","Illinois",2020-03-21,"Social distancing","Small gathering cancellation","Mandatory home office",NA
"493","Illinois",2020-03-21,"Social distancing","Small gathering cancellation","Complete prohibition of gathering",NA
